CULTURE,ID,SHORT_LABEL,MOBILE_LABEL,LAYER_NAME,HIDDEN,LAST_UPDT_USER,LAST_UPDT_DATE,VERSION,DB_ID,ROW_ID,STATUS,REV_GRP_ID
en-US,TYPE.CONTACT.OPERATOR_NO,Operator Number,Operator Number,STD,FALSE,NULL,27:52.1,d26c391aff384c059dd4199af8c2010c,NULL,e32e54d364a04ba18ad8cc4a5926be3d,NULL,NULL
ru-RU,TYPE.CONTACT.OPERATOR_NO,Номер оператора,[ru-RU] Operator Number,STD,FALSE,SYSTEM,56:00.2,8338efee857d4c5c8ec4e75dc2f5b28a,NULL,41c6ab9fb2f74a2a95b61858a29459ca,NULL,NULL
ru-RU,TYPE.CONTACT.PHONE,[ru-RU] Contact Phone,[ru-RU] Contact Phone,STD,FALSE,NULL,27:52.1,ccc4a05151484a7d82f20e704698e6f7,NULL,c3d58b9a120f4e8496b4d58b704f745d,NULL,NULL
en-US,TYPE.CONTACT.PHONE,Contact Phone,Contact Phone,STD,FALSE,NULL,27:52.1,dde62505dce44409bfabe59ca458c275,NULL,daa764d281bc4699837058d0b74379bc,NULL,NULL
en-US,TYPE.CONTACT.TITLE,Contact Title,Contact Title,STD,FALSE,NULL,27:52.1,662b7b2fbf8247eb9e1f6ca6dd6c406e,NULL,7d82af970b1549a290a354a678a16dd6,NULL,NULL
ru-RU,TYPE.CONTACT.TITLE,[ru-RU] Contact Title,[ru-RU] Contact Title,STD,FALSE,NULL,27:52.1,659cf2d9c4e8468b9967dedf727f09a4,NULL,964ac7e2c7ba486b906b06ad7e034f12,NULL,NULL
ru-RU,TYPE.CONTEXT_HELP,[ru-RU] Context Help,NULL,STD,FALSE,NULL,27:02.7,96b0ac33f99a497d82a2f37d9c6dda52,NULL,e0d6c2bef2ec4c7e8c913b16c1d6808a,NULL,NULL
en-US,TYPE.CONTEXT_HELP,Context Help,NULL,STD,FALSE,NULL,27:02.7,a347c234f5294484a7a361a3af5e73e8,NULL,52de261ab41a4878b43209043bef419f,NULL,NULL
en-US,TYPE.CONTEXT_HELP.CREATE_SOURCE,Create Source,Create Source,STD,FALSE,NULL,27:02.7,931c31e86f48440e9c61cb6e93c067c8,NULL,4199558f45894e8c942e98eda10b2d65,NULL,NULL
ru-RU,TYPE.CONTEXT_HELP.CREATE_SOURCE,[ru-RU] Create Source,[ru-RU] Create Source,STD,FALSE,NULL,27:02.7,0830381a1fa644a0a7d22f24bbdb97e3,NULL,6abc093b6c624a1a8c82fd762230b792,NULL,NULL
ru-RU,TYPE.CONTEXT_HELP.CULTURE,[ru-RU] Culture,NULL,STD,FALSE,NULL,27:02.7,a47a982e962e408ba5244e8c036723f5,NULL,f76cf4b365404d57a40a2c49660af55d,NULL,NULL
en-US,TYPE.CONTEXT_HELP.CULTURE,Culture,NULL,STD,FALSE,NULL,27:02.7,6d4d38c8861e43efb5a5a6a1e40981a3,NULL,6cd6c56db8734389b691da0dcb87cd90,NULL,NULL
en-US,TYPE.CONTEXT_HELP.DB_ID,Last Update DB,Last Update DB,STD,FALSE,NULL,27:02.7,a0db4a2306e840d48ffa1bf03f278a6f,NULL,5f94b7e111864e82a8c2e10378127f34,NULL,NULL
ru-RU,TYPE.CONTEXT_HELP.DB_ID,Last Update DB,[ru-RU] Last Update DB,STD,FALSE,SYSTEM,56:00.2,400a3dc6507e4c03827599cb1c4aa069,NULL,b4da2260bbea48728ac9fdca0a2d1b33,NULL,NULL
ru-RU,TYPE.CONTEXT_HELP.END_DATETIME,Дата/время окончания,[ru-RU] End Datetime,STD,FALSE,SYSTEM,56:00.2,ec2bd79eabca4089b800c648c3c2109a,NULL,1847be442a964aafb9f051f408ed1207,NULL,NULL
en-US,TYPE.CONTEXT_HELP.END_DATETIME,End Datetime,End Datetime,STD,FALSE,NULL,27:02.7,887c3f2ca5fd4fe2b08131e3b5e558d5,NULL,06b9a5edc16c4f548ecf0077325cafbf,NULL,NULL
en-US,TYPE.CONTEXT_HELP.EVENT_TYPE,Event Type,Event Type,STD,FALSE,NULL,27:02.7,37cbd1d426e146c6983319cbad91b1e2,NULL,0b9656f1e60f4099bf831e4b02699b42,NULL,NULL
ru-RU,TYPE.CONTEXT_HELP.EVENT_TYPE,[ru-RU] Event Type,[ru-RU] Event Type,STD,FALSE,NULL,27:02.7,64e7108abe16465a89416a0ed769b055,NULL,5c12c0c2dd144eea979dfb45d7142c68,NULL,NULL
ru-RU,TYPE.CONTEXT_HELP.EXP_INST_LAYER,[ru-RU] Instance Layer,[ru-RU] Instance Layer,STD,FALSE,NULL,27:02.7,2789a3c401944b34b0405212c2ccb895,NULL,82d3b244c05f4473aa1446646cce1b16,NULL,NULL
en-US,TYPE.CONTEXT_HELP.EXP_INST_LAYER,Instance Layer,Instance Layer,STD,FALSE,NULL,27:02.7,0120b22ec90a45fc896ac3e92ed2e404,NULL,c5045c028dd94121b43d79bcd9f1883a,NULL,NULL
en-US,TYPE.CONTEXT_HELP.HELP_ID,Help Id,Screen Config Id,STD,FALSE,NULL,27:02.7,e6ff33b207c44d159b924efbc7609066,NULL,aebe7490a8bc4db392cec26fb7524cfb,NULL,NULL
ru-RU,TYPE.CONTEXT_HELP.HELP_ID,[ru-RU] Help Id,[ru-RU] Screen Config Id,STD,FALSE,NULL,27:02.7,b2b8d98740d54dc6b4c89cf0a0301a63,NULL,da4cf4b2b9e845dd9839a2ab02568b7e,NULL,NULL
ru-RU,TYPE.CONTEXT_HELP.HELP_ID_TYPE,[ru-RU] Help Id Type,NULL,STD,FALSE,NULL,27:02.7,7766e40f1b8a472cbf48b58027d7fcdd,NULL,2b57d9a4d98f4f628c3c01fa881ec842,NULL,NULL
en-US,TYPE.CONTEXT_HELP.HELP_ID_TYPE,Help Id Type,NULL,STD,FALSE,NULL,27:02.7,e42d932766e34460b7522c7ed1e6a721,NULL,7ee86bec21ce4bc68668a7a69682dbbc,NULL,NULL
en-US,TYPE.CONTEXT_HELP.ITEM_ID,Item ID,Item ID,STD,FALSE,NULL,27:02.7,f3292bfcf8ff4df98c2cb794c1472686,NULL,c584f204e5914432913410e0551247e4,NULL,NULL
ru-RU,TYPE.CONTEXT_HELP.ITEM_ID,[ru-RU] Item ID,[ru-RU] Item ID,STD,FALSE,NULL,27:02.7,6c82e33d96b14861b0c85f89e1b72574,NULL,c49d5fbe14a04381a1d6a4038a1b80a2,NULL,NULL
